"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"185",106841.669463433,273975.2927696,236476.255231031,21.4103980920067,23.0320675100516,22.3495471978825
"186",116381.061479028,292343.853806294,270494.043044623,20.4997176600036,22.5766883953238,21.2838314545207
"187",118864.520320185,289895.906661723,276144.64205399,20.9668526021579,22.9336221380069,21.5014840266231
"188",113897.774837894,270928.653419464,255067.699266112,21.1849429651972,23.0327153991015,21.8040674857463
"189",113087.21690636,269035.734911147,229650.90098499,21.5777361729636,23.3049526930496,22.4295602437599
"190",117954.788555155,290507.819840488,264534.903433247,20.8981051924789,22.9824429110145,21.6266687703724
"191",96084.0555922819,218267.796149344,196960.900668686,22.6996287084821,24.0300680652665,23.3243501938981
"192",115448.872214792,289770.535306313,259062.142774354,21.4883672530157,23.2606301130069,22.1101225890458
"193",102332.46572463,253153.317334468,228402.331118723,21.9404624253361,23.3587223002982,22.646554070886
"194",105378.579388133,251382.825526155,227036.858402381,22.0903143234171,23.7160916820307,22.715997779797
"195",125013.893820067,324120.732484837,312435.18009328,20.5954960051433,22.6630930104491,21.1350544797521
"196",107625.743528751,280976.859522165,259427.763065718,21.1025993662867,22.6648887004637,21.8401985170371
"197",105474.82211844,284122.643682808,248179.242926743,20.8748409156397,22.4870200554039,21.7733899053515
"198",91730.9045155934,218095.942086619,203908.855958409,22.3228871730025,23.539868893858,22.9771123192282
"199",114806.257787032,234699.385014487,208154.180502155,22.4949525030626,23.8892351342724,23.4380516598818
"200",116983.548814141,287787.809328625,263906.980131923,21.5154360781856,23.0398383556586,22.2758568028076
"201",110158.994352512,284369.369346816,247975.930118344,20.89651498835,22.7474646337518,21.773968316272
"202",108140.189424791,255640.112941007,224914.945777263,21.7237551396747,23.2565468935322,22.7300240614125
"203",110330.629881207,256289.20957539,227538.652865508,22.1891900175539,23.6935397662347,22.9312806379382
"204",117432.041208105,287885.755304041,251610.617695018,20.7003655415463,22.7786709547994,21.5760433695654
"205",99581.1341688422,207332.349561753,185368.187737514,23.5572584587566,24.8088045703713,24.1587109928016
"206",127474.846063472,309163.738441741,263089.671358377,20.8603823306683,22.725360596476,21.8166996688062
"207",106423.194738732,303553.388150112,295502.930304636,19.567078413941,21.4760217899823,20.2120686659984
